"First Name","名字"
"Last Name","姓氏"
"Sign up","注册"
"Already have an account?","已经注册？"
"User Name","用户名（电子邮箱）"
"Password","密码"
"Update password","更改密码"
"Current password","当前密码"
"New password","新密码"
"Email","电子邮箱"
"Confirm password","确认密码"
"Login","登陆"
"Not a member?","还未注册？"
"Forgotten Password?","忘记密码？"
"Return <br> to Homepage","返回 <br> 主页"
"Please read our <b>Terms of Use</b> before logging in.","请在登录前先阅读我们的<b>服务条款</b>。"
"I accept <b>Terms of Use</b>.","我同意<b>服务条款</b>."
"Oh no! We're sorry but we can't find the page you are looking for.","Oh no! We're sorry but we can't find the page you are looking for."
"Uh Oh! Don't worry we have a team hard at working solving the problem!","Uh Oh! Don't worry we have a team hard at working solving the problem!"
"An error occurred","出错了"
"Exception information:","异常信息："
"Message:","消息："
"Stack trace:","跟踪信息："
"Request Parameters:","请求参数："
"Dashboard","控制面板"

"authMsg:RegisterWhileLoggingin","对不起，您无法在已经登录的情况下注册新账户。"
"authMsg:AlreadyLoggedin","对不起，您已经登陆，如果您想切换到另一个账户，请先登出。"
"authMsg:FailLogOut","对不起，无法登出，因为您还没有登陆。"
"authMsg:LoginThroughForm","欢迎回来，请输入登录信息。"
"authMsg:LoginSuccess","登陆成功，欢迎您。"
"authMsg:LoginFail","对不起，登陆失败。您的用户名和密码输入正确了吗？"
"authMsg:LogoutSuccess","您已经成功安全登出。"
"authMsg:AccountExists","对不起，这个邮箱地址已经被占用，您是否忘记了密码？"
"authMsg:RegistrationSuccess","恭喜，您的账户已经创建，登陆后就可以开始您的体验了！"
"authMsg:LoginToUpdatePassword","对不起，请您先登陆后才可以修改密码。"
"authMsg:RedirectToUpdatePassword","您已经登陆了，我们将您转到了密码更新页面。"
"authMsg:PasswordUpdated","修改密码成功。"
"authMsg:PasswordUpdateFail","对不起，修改密码过程中出现了问题，请重试。"
"authMsg:PasswordUpdatePasswordNotMatch","对不起，当前密码输入不正确"

"Front:StrongPassword","理想情况下，一个强力的密码应该不少于8位，并包含数字，大小写字母以及至少两位特殊字符。"
"Front:WhatIsStrongPassword","如何选择一个强力密码？"
"Front:RegisterUserNameTip","这会是您登陆所使用的用户名"
"Front:PasswordUpdateCurrentPasswordTip","为了您的账户安全，此项为必填"